email,price,products,date
john.doe@example.com,299.99,Mechanical Keyboard;Gaming Mouse,2025-09-01
jane.smith@example.com,549.5,Gaming Monitor;Mouse Pad,2025-09-02
alex.brown@example.com,1200.0,Graphics Card,2025-09-03
lisa.white@example.com,89.99,External SSD;USB Hub,2025-09-04
michael.green@example.com,749.99,Laptop;Wireless Mouse,2025-09-05
evelyn453@demo.com,121.14,RAM,2025-09-06
charlotte2955@test.com,325.97,Monitor;External HDD;Graphics Card,2025-09-07
elijah4235@example.com,463.42,Webcam;RAM;SSD,2025-09-08
amelia5404@test.com,1398.58,Monitor;Laptop,2025-09-09
emma4098@test.com,1175.72,USB Hub;Monitor;Graphics Card,2025-09-10
isabella3063@example.com,707.9,Wireless Mouse;Webcam,2025-09-11
mia7886@test.com,1325.65,Graphics Card;Laptop,2025-09-12
olivia7951@mail.com,1241.87,Webcam;Wireless Mouse,2025-09-13
evelyn6550@mail.com,1180.53,Wireless Mouse;Gaming Monitor,2025-09-14
evelyn6383@demo.com,1053.82,Laptop;Monitor,2025-09-15
charlotte7599@mail.com,1238.92,RAM;SSD;External SSD,2025-09-16
charlotte2104@demo.com,148.23,Monitor,2025-09-17
lucas5221@demo.com,1298.33,Webcam;USB Cable,2025-09-18
oliver5800@mail.com,523.36,SSD;Gaming Monitor,2025-09-19
evelyn5859@example.com,806.77,Gaming Monitor,2025-09-20
lucas1151@example.com,1246.27,Monitor,2025-09-21
harper4779@mail.com,420.44,Webcam,2025-09-22
jacob8729@test.com,701.42,Monitor,2025-09-23
emma873@example.com,1236.46,Gaming Monitor,2025-09-24
sophia8145@mail.com,550.08,USB Cable;External SSD,2025-09-25
sophia5582@demo.com,1283.18,External SSD;External HDD;Headset,2025-09-26
liam854@example.com,876.85,Laptop,2025-09-27
chloe3212@example.com,1021.91,Graphics Card;External SSD,2025-09-28
amelia7255@test.com,888.23,USB Cable;Laptop,2025-09-29
liam1460@demo.com,1068.95,Headset,2025-09-30
mason8749@demo.com,1057.47,RAM;USB Hub;Mouse Pad,2025-10-01
harper6899@example.com,549.69,Webcam;Wireless Mouse;RAM,2025-10-02
liam705@example.com,634.86,RAM;Mouse Pad,2025-10-03
emma4927@mail.com,1155.6,Laptop;Mouse Pad;External HDD,2025-10-04
mia1104@example.com,789.7,Gaming Monitor;Laptop;RAM,2025-10-05
mason6408@demo.com,507.62,USB Hub;Graphics Card,2025-10-06
jack6479@mail.com,1287.85,Mechanical Keyboard,2025-10-07
oliver509@example.com,848.26,Laptop;Wireless Mouse,2025-10-08
isabella2651@example.com,257.65,RAM;Laptop,2025-10-09
liam1539@example.com,1220.5,External SSD;Mouse Pad,2025-10-10
jacob8823@test.com,1437.64,USB Hub;Mechanical Keyboard,2025-10-11
noah5014@test.com,899.76,Gaming Monitor;Gaming Mouse,2025-10-12
liam8874@mail.com,163.63,External SSD;External HDD;Headset,2025-10-13
olivia7439@mail.com,763.16,Mouse Pad,2025-10-14
mia605@example.com,1051.6,Gaming Mouse;External HDD;RAM,2025-10-15
jacob6394@example.com,1192.43,Laptop;Monitor;Mechanical Keyboard,2025-10-16
harper5000@test.com,1419.95,Headset,2025-10-17
olivia1072@demo.com,443.06,Graphics Card;External HDD,2025-10-18
oliver6954@example.com,502.11,Gaming Monitor;Mechanical Keyboard;Laptop,2025-10-19
jacob2471@example.com,236.55,External HDD;Monitor;SSD,2025-10-20
jacob6999@mail.com,1257.18,Gaming Monitor,2025-10-21
olivia5190@mail.com,1010.8,SSD;USB Cable;Graphics Card,2025-10-22
sophia8176@test.com,325.82,Gaming Monitor;Webcam,2025-10-23
sophia7083@test.com,421.57,Wireless Mouse;Gaming Mouse,2025-10-24
jacob2583@test.com,383.67,Graphics Card,2025-10-25
isabella907@test.com,566.14,Graphics Card;Mouse Pad;Monitor,2025-10-26
amelia7216@example.com,1197.68,Laptop;USB Hub;RAM,2025-10-27
charlotte9716@test.com,663.19,Gaming Monitor;External SSD,2025-10-28
jack849@mail.com,1285.33,RAM,2025-10-29
elijah2989@demo.com,995.44,Graphics Card,2025-10-30
isabella9229@demo.com,1434.38,Graphics Card,2025-10-31
jack8665@mail.com,970.24,Mouse Pad;Webcam;RAM,2025-11-01
emma7996@test.com,967.86,Laptop;USB Cable,2025-11-02
ava5890@test.com,1410.91,USB Hub;Monitor;Mouse Pad,2025-11-03
elijah7961@mail.com,1450.98,Gaming Monitor,2025-11-04
olivia875@mail.com,922.32,Headset;Gaming Mouse;Wireless Mouse,2025-11-05
charlotte711@mail.com,190.81,Laptop,2025-11-06
amelia7380@mail.com,1270.3,Mouse Pad,2025-11-07
jack7828@example.com,1332.39,Wireless Mouse;External SSD,2025-11-08
olivia2771@example.com,501.13,Webcam;SSD,2025-11-09
amelia8857@demo.com,388.07,Mouse Pad;Mechanical Keyboard;External SSD,2025-11-10
chloe4311@test.com,1285.31,Gaming Monitor,2025-11-11
sophia5541@mail.com,129.03,Gaming Monitor;Wireless Mouse,2025-11-12
sophia7529@example.com,902.69,USB Hub;Webcam,2025-11-13
amelia440@demo.com,512.04,Mouse Pad,2025-11-14
logan8225@demo.com,970.7,USB Hub;Webcam;Laptop,2025-11-15
harper3960@mail.com,1232.68,RAM;Wireless Mouse,2025-11-16
isabella3221@mail.com,785.47,Gaming Monitor,2025-11-17
chloe6028@demo.com,663.59,Graphics Card,2025-11-18
noah6087@test.com,508.0,Headset,2025-11-19
emma4795@example.com,841.04,Wireless Mouse,2025-11-20
harper404@example.com,392.03,RAM;Laptop,2025-11-21
isabella3537@test.com,623.42,Webcam;Mouse Pad;Monitor,2025-11-22
isabella8601@example.com,811.74,Wireless Mouse;Graphics Card,2025-11-23
jacob2692@example.com,386.67,USB Cable,2025-11-24
ava7852@test.com,433.84,Webcam;Laptop;Mouse Pad,2025-11-25
charlotte251@test.com,1363.04,Mouse Pad;USB Cable,2025-11-26
isabella6576@example.com,541.51,Gaming Mouse;Mouse Pad;Graphics Card,2025-11-27
emma1804@test.com,702.1,Gaming Monitor;Monitor,2025-11-28
chloe4267@example.com,291.21,External SSD;Graphics Card,2025-11-29
isabella6644@mail.com,694.6,Laptop;Headset;Gaming Monitor,2025-11-30
lucas1815@mail.com,760.73,RAM,2025-12-01
chloe9197@demo.com,668.82,Webcam;Mechanical Keyboard,2025-12-02
oliver7674@demo.com,771.49,Gaming Mouse;Monitor,2025-12-03
harper543@example.com,483.46,USB Cable;Mechanical Keyboard,2025-12-04
harper4679@demo.com,819.95,RAM,2025-12-05
evelyn4200@test.com,434.42,Wireless Mouse;External HDD,2025-12-06
lucas5530@mail.com,205.65,Gaming Monitor;Mouse Pad,2025-12-07
jacob7700@example.com,1151.09,Headset,2025-12-08
mason5901@example.com,284.36,Gaming Monitor;RAM;SSD,2025-12-09
ava8390@mail.com,823.55,RAM;Headset;Laptop,2025-12-10
elijah4249@demo.com,1249.11,Gaming Monitor;RAM,2025-12-11
oliver5229@demo.com,369.22,Headset;Gaming Mouse;Wireless Mouse,2025-12-12
isabella8378@test.com,782.61,SSD;RAM;Gaming Mouse,2025-12-13
ava6696@demo.com,307.24,USB Cable;Webcam,2025-12-14
mason586@example.com,1167.22,USB Hub;External HDD,2025-12-15
jacob7893@test.com,1199.97,Laptop;External HDD,2025-12-16
oliver2622@mail.com,924.25,USB Cable;Wireless Mouse,2025-12-17
sophia1228@mail.com,810.88,Laptop;Mouse Pad,2025-12-18
emma9028@test.com,264.65,Gaming Monitor;USB Cable;RAM,2025-12-19
emma7650@test.com,424.55,Laptop,2025-12-20
elijah5486@demo.com,1408.52,External SSD,2025-12-21
jack7843@example.com,1350.23,USB Cable;External HDD;Gaming Monitor,2025-12-22
olivia9392@example.com,822.24,Graphics Card,2025-12-23
harper9688@test.com,612.79,Gaming Mouse,2025-12-24
evelyn1080@mail.com,944.44,Gaming Monitor,2025-12-25
elijah3501@demo.com,1480.93,USB Hub,2025-12-26
chloe2683@example.com,313.74,Webcam;Mechanical Keyboard,2025-12-27
noah8597@test.com,806.3,Mouse Pad,2025-12-28
amelia9654@mail.com,1040.67,External HDD;USB Cable,2025-12-29
mia3494@test.com,152.46,Graphics Card,2025-12-30
evelyn1017@example.com,967.44,Headset,2025-12-31
sophia9048@demo.com,102.21,USB Cable,2026-01-01
emma9478@mail.com,1185.22,External HDD,2026-01-02
oliver2427@mail.com,1437.84,USB Cable,2026-01-03
evelyn4241@test.com,164.69,Mouse Pad;Laptop;Graphics Card,2026-01-04
logan7466@demo.com,307.37,USB Cable;External SSD;USB Hub,2026-01-05
elijah1248@test.com,1198.0,Mechanical Keyboard,2026-01-06
evelyn2081@test.com,1085.87,Mechanical Keyboard;USB Cable,2026-01-07
jack716@test.com,568.11,Graphics Card;Mouse Pad;External SSD,2026-01-08
emma4790@demo.com,1287.37,Wireless Mouse,2026-01-09
isabella2370@example.com,1476.85,Mechanical Keyboard;Mouse Pad;External HDD,2026-01-10
logan4649@mail.com,324.71,Laptop;Gaming Mouse;Graphics Card,2026-01-11
emma9029@mail.com,1177.29,External HDD,2026-01-12
mia4734@example.com,921.32,Mouse Pad,2026-01-13
jacob9633@example.com,860.31,External HDD,2026-01-14
emma3001@mail.com,456.46,Webcam;Monitor,2026-01-15
sophia8727@test.com,299.33,Monitor;Webcam,2026-01-16
emma3748@demo.com,956.7,External SSD,2026-01-17
evelyn2623@example.com,1140.51,Webcam;RAM;Mechanical Keyboard,2026-01-18
charlotte1069@example.com,477.59,Headset,2026-01-19
logan4761@example.com,1100.19,SSD;Mechanical Keyboard,2026-01-20
oliver5167@test.com,198.5,Headset;External SSD,2026-01-21
logan6947@test.com,479.88,Webcam;Gaming Mouse,2026-01-22
ava9508@test.com,1174.63,Laptop,2026-01-23
harper4767@example.com,1049.79,RAM,2026-01-24
jacob8814@test.com,863.02,RAM,2026-01-25
olivia3705@test.com,1241.02,Monitor,2026-01-26
noah9200@mail.com,1151.37,Monitor;Wireless Mouse;SSD,2026-01-27
harper6149@example.com,1316.05,Mechanical Keyboard;Mouse Pad;Laptop,2026-01-28
logan8373@test.com,217.65,Wireless Mouse;External SSD,2026-01-29
olivia3518@test.com,1259.99,Graphics Card;SSD,2026-01-30
mason7857@demo.com,1042.2,Gaming Monitor;RAM,2026-01-31
olivia9167@test.com,775.41,External HDD;Laptop;Graphics Card,2026-02-01
jacob6859@mail.com,1035.29,Headset,2026-02-02
isabella1932@example.com,429.42,Graphics Card;Laptop,2026-02-03
liam2316@example.com,519.32,Monitor;Mouse Pad;USB Cable,2026-02-04
lucas9675@example.com,481.25,Mechanical Keyboard,2026-02-05
harper6541@demo.com,838.78,Monitor;Webcam;USB Hub,2026-02-06
emma7484@test.com,1073.37,Gaming Mouse;External HDD;Graphics Card,2026-02-07
mason2491@test.com,431.96,Gaming Mouse,2026-02-08
mia3129@example.com,113.71,Graphics Card;Mechanical Keyboard;USB Cable,2026-02-09
jacob5449@example.com,1218.53,Mechanical Keyboard,2026-02-10
liam8816@mail.com,227.19,USB Cable;External SSD,2026-02-11
ava9294@test.com,1433.02,Mouse Pad;External HDD;Gaming Mouse,2026-02-12
ava5721@demo.com,572.15,Gaming Monitor;Mechanical Keyboard,2026-02-13
evelyn5796@mail.com,262.03,RAM;USB Cable,2026-02-14
lucas7798@test.com,112.05,Monitor;USB Hub,2026-02-15
elijah6756@test.com,446.15,Laptop;RAM,2026-02-16
olivia7382@mail.com,770.82,Graphics Card,2026-02-17
liam5138@mail.com,223.06,Mouse Pad,2026-02-18
lucas89@mail.com,194.53,SSD,2026-02-19
logan3745@test.com,1373.79,Monitor,2026-02-20
emma9719@example.com,95.89,Gaming Monitor;Wireless Mouse,2026-02-21
logan4695@demo.com,1213.25,USB Hub,2026-02-22
emma2548@mail.com,1127.51,Webcam,2026-02-23
